item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM001,ORD321,PROD093,1,4806.13,0.35
ITEM002,ORD392,PROD130,1,4291.51,54.35
ITEM003,ORD003,PROD312,4,2985.43,47.57
ITEM004,ORD210,PROD227,1,132.21,88.22
ITEM005,ORD143,PROD318,5,1117.42,18.48
ITEM006,ORD029,PROD335,3,4283.76,66.7
ITEM007,ORD430,PROD309,3,529.74,10.89
ITEM008,ORD092,PROD083,3,3488.42,59.5
ITEM009,ORD404,PROD288,2,3771.74,36.02
ITEM010,ORD019,PROD048,3,4497.9,82.03
ITEM011,ORD389,PROD219,5,2407.0,12.2
ITEM012,ORD441,PROD141,3,2670.77,69.58
ITEM013,ORD314,PROD030,1,4898.81,52.89
ITEM014,ORD045,PROD248,5,4932.76,28.72
ITEM015,ORD312,PROD435,3,2918.2,62.32
ITEM016,ORD475,PROD067,5,2646.56,63.19
ITEM017,ORD253,PROD414,2,1240.34,29.05
ITEM018,ORD100,PROD001,-1,3164.76,11.79
ITEM019,ORD435,PROD107,5,2128.8,33.38
ITEM020,ORD287,PROD413,-2,1085.82,28.16
ITEM021,ORD405,PROD035,3,2794.97,76.7
ITEM022,ORD059,PROD352,3,3649.54,61.6
ITEM023,ORD015,PROD427,2,4185.74,92.23
ITEM024,ORD246,PROD470,4,3263.7,48.15
ITEM025,ORD322,PROD236,5,2366.1,81.42
ITEM026,ORD476,PROD381,1,1566.78,72.5
ITEM027,ORD162,PROD285,-5,2929.25,33.17
ITEM028,ORD470,PROD455,3,831.59,84.07
ITEM029,ORD174,PROD193,5,2897.81,38.96
ITEM030,ORD305,PROD060,3,1641.05,3.16
ITEM031,ORD212,PROD045,4,1920.76,82.95
ITEM032,ORD155,PROD111,5,649.93,78.49
ITEM033,ORD399,PROD104,1,222.18,48.27
ITEM034,ORD257,PROD079,2,2469.01,87.39
ITEM035,ORD159,PROD398,3,4371.82,82.21
ITEM036,ORD481,PROD265,2,279.11,38.76
ITEM037,ORD443,PROD268,-1,4668.45,68.71
ITEM038,ORD305,PROD447,1,4457.01,10.31
ITEM039,ORD393,PROD338,-3,3816.62,63.89
ITEM040,ORD108,PROD165,2,1455.58,31.91
ITEM041,ORD226,PROD344,1,871.73,11.45
ITEM042,ORD491,PROD319,5,1112.23,35.03
ITEM043,ORD164,PROD139,2,4039.61,57.41
ITEM044,ORD088,PROD037,3,1759.82,44.36
ITEM045,ORD067,PROD015,4,347.23,38.36
ITEM046,ORD045,PROD219,4,3020.99,59.28
ITEM047,ORD429,PROD354,4,1630.96,81.74
ITEM048,ORD366,PROD389,5,4621.64,76.44
ITEM049,ORD291,PROD068,1,4606.48,46.83
ITEM050,ORD234,PROD159,4,4742.5,14.37
ITEM051,ORD459,PROD316,3,2021.18,69.96
ITEM052,ORD341,PROD170,3,248.29,47.53
ITEM053,ORD180,PROD246,4,1483.06,34.86
ITEM054,ORD295,PROD066,5,4106.01,79.68
ITEM055,ORD167,PROD285,1,2710.45,40.08
ITEM056,ORD212,PROD123,5,879.2,48.24
ITEM057,ORD034,PROD175,2,2995.75,78.43
ITEM058,ORD223,PROD291,3,1257.16,66.26
ITEM059,ORD040,PROD379,5,660.18,59.61
ITEM060,ORD167,PROD285,1,963.25,95.59
ITEM061,ORD036,PROD307,1,3022.39,81.99
ITEM062,ORD168,PROD254,1,4103.46,88.73
ITEM063,ORD463,PROD387,1,3338.32,45.3
ITEM064,ORD150,PROD200,5,1058.77,68.15
ITEM065,ORD163,PROD154,5,3429.84,91.85
ITEM066,ORD480,PROD223,3,2955.36,61.15
ITEM067,ORD262,PROD207,2,405.81,90.11
ITEM068,ORD496,PROD028,1,4121.69,35.92
ITEM069,ORD441,PROD145,1,3540.89,39.43
ITEM070,ORD163,PROD365,4,2232.43,21.12
ITEM071,ORD089,PROD244,2,1984.52,92.45
ITEM072,ORD431,PROD214,2,4376.4,12.55
ITEM073,ORD006,PROD037,1,4435.95,65.79
ITEM074,ORD500,PROD070,1,4049.11,86.02
ITEM075,ORD458,PROD404,5,3153.92,45.44
ITEM076,ORD218,PROD283,4,1206.13,42.48
ITEM077,ORD004,PROD296,4,1260.07,50.17
ITEM078,ORD211,PROD475,5,263.96,3.79
ITEM079,ORD248,PROD361,3,2459.51,69.05
ITEM080,ORD073,PROD374,5,4919.98,77.89
ITEM081,ORD239,PROD265,1,3089.35,24.52
ITEM082,ORD323,PROD380,1,2742.07,57.96
ITEM083,ORD314,PROD028,3,152.84,45.4
ITEM084,ORD464,PROD241,5,2162.98,96.06
ITEM085,ORD409,PROD151,3,3505.75,59.76
ITEM086,ORD156,PROD373,5,3183.57,57.81
ITEM087,ORD294,PROD027,3,3159.15,28.68
ITEM088,ORD043,PROD065,5,3940.44,25.21
ITEM089,ORD316,PROD144,3,169.59,11.15
ITEM090,ORD090,PROD466,5,3329.86,36.98
ITEM091,ORD090,PROD134,2,4016.92,86.2
ITEM092,ORD176,PROD044,2,4126.45,83.76
ITEM093,ORD386,PROD212,4,2256.91,63.76
ITEM094,ORD108,PROD296,3,1395.54,81.95
ITEM095,ORD027,PROD086,4,1576.7,74.62
ITEM096,ORD386,PROD473,5,3449.2,39.01
ITEM097,ORD135,PROD075,5,158.13,92.72
ITEM098,ORD230,PROD196,3,3446.09,4.1
ITEM099,ORD470,PROD273,3,2215.75,91.8
ITEM100,ORD440,PROD140,3,4031.35,25.53
ITEM101,ORD300,PROD201,4,3770.55,73.43
ITEM102,ORD302,PROD395,2,3420.82,99.32
ITEM103,ORD161,PROD281,1,4175.28,1.2
ITEM104,ORD051,PROD269,1,1822.43,72.53
ITEM105,ORD129,PROD099,-1,550.51,93.85
ITEM106,ORD337,PROD458,2,3226.61,70.81
ITEM107,ORD062,PROD045,5,3316.33,89.99
