product_id,product_name,category,subcategory,cost_price
PROD001,Term Fiction,Books,Fiction,1250.37
PROD002,Recent Table,Home,Table,2226.46
PROD003,Allow Mobile,Electronics,Mobile,3500.61
PROD004,Matter Mobile,Electronics,Mobile,374.98
PROD005,Close Sofa,Home,Sofa,1296.57
PROD006,None Science,Books,Science,486.94
PROD007,Discussion Science,Books,Science,2957.47
PROD008,Century Jacket,Clothing,Jacket,2351.9
PROD009,Skin Camera,Electronics,Camera,3420.29
PROD010,Include Shirt,Clothing,Shirt,1793.27
PROD011,Style Lamp,Home,Lamp,2338.5
PROD012,Subject Table,Home,Table,4281.34
PROD013,Time Laptop,Electronics,Laptop,1858.9
PROD014,oFFER sOFA,Home,Sofa,1444.95
PROD015,Find Camera,Electronics,Camera,4524.38
PROD016,Protect Shoes,Clothing,Shoes,1031.65
PROD017,Charge Table,Home,Table,4526.68
PROD018,Fire Headphones,Electronics,Headphones,263.49
PROD019,Research Table,Home,Table,1546.04
PROD020,Very Science,Books,Science,3953.91
PROD021,Who Sofa,Home,Sofa,1359.15
PROD022,Stuff History,Books,History,1759.7
PROD023,Trial Camera,Electronics,Camera,789.71
PROD024,Shoulder Jacket,Clothing,Jacket,4042.48
PROD025,Raise Chair,Home,Chair,168.2
PROD026,Hour Camera,Electronics,Camera,3770.16
PROD027,Activity Lamp,Home,Lamp,4707.43
PROD028,On Laptop,Electronics,Laptop,3135.78
PROD029,Two Table,Home,Table,3213.48
PROD030,One History,Books,History,671.71
PROD031,Chance Mobile,Electronics,Mobile,2513.86
PROD032,Candidate Laptop,Electronics,Laptop,764.75
PROD033,Analysis History,Books,History,3741.39
PROD034,Accept Science,Books,Science,3309.12
PROD035,Page Comics,Books,Comics,1470.73
PROD036,Pick Table,Home,Table,4757.72
PROD037,Indeed Chair,Home,Chair,1899.94
PROD038,Note Chair,Home,Chair,1030.06
PROD039,Officer Camera,Electronics,Camera,1139.32
PROD040,Your Mobile,Electronics,Mobile,1293.49
PROD041,Bed Jeans,Clothing,Jeans,3849.27
PROD042,Focus Jeans,Clothing,Jeans,1241.69
PROD043,Develop Shirt,Clothing,Shirt,4921.74
PROD044,Smile Shoes,Clothing,Shoes,638.64
PROD045,SITE LAPTOP,Electronics,Laptop,2985.38
PROD046,Well Laptop,Electronics,Laptop,721.12
PROD047,She Fiction,Books,Fiction,2433.61
PROD048,Guy Chair,Home,Chair,1185.59
PROD049,Development Headphones,Electronics,Headphones,4823.73
PROD050,Itself Camera,Electronics,Camera,2188.74
PROD051,Western Camera,Electronics,Camera,2273.46
PROD052,Race Headphones,Electronics,Headphones,421.84
PROD053,Today Sofa,Home,Sofa,3027.22
PROD054,Music Lamp,Home,Lamp,2207.98
PROD055,Change Laptop,Electronics,Laptop,4451.65
PROD056,College History,Books,History,2053.78
PROD057,Create Headphones,Electronics,Headphones,3359.03
PROD058,Do Table,Home,Table,2423.91
PROD059,Practice Mobile,Electronics,Mobile,573.17
PROD060,They Table,Home,Table,2973.68
PROD061,Entire Chair,Home,Chair,4380.68
PROD062,Daughter Fiction,Books,Fiction,3042.01
PROD063,Building Chair,Home,Chair,1142.42
PROD064,Course Science,Books,Science,1815.56
PROD065,Remain Chair,Home,Chair,2913.09
PROD066,Successful Fiction,Books,Fiction,3323.37
PROD067,Our Chair,Home,Chair,3543.22
PROD068,Together Sofa,Home,Sofa,988.89
PROD069,Arm Jacket,Clothing,Jacket,3730.75
PROD070,Today Mobile,Electronics,Mobile,1154.15
PROD071,Society Comics,Books,Comics,1913.26
PROD072,Work Chair,Home,Chair,862.34
PROD073,Often Mobile,Electronics,Mobile,3343.5
PROD074,Main Comics,Books,Comics,1156.29
PROD075,Quite Headphones,Electronics,Headphones,1487.91
PROD076,oFTEN hISTORY,Books,History,4923.78
PROD077,Baby Mobile,Electronics,Mobile,4732.09
PROD078,Fill Shoes,Clothing,Shoes,687.92
PROD079,Remain Comics,Books,Comics,1963.02
PROD080,Audience Shoes,Clothing,Shoes,4322.65
PROD081,  Enough Camera  ,Electronics,Camera,4324.34
PROD082,Billion Comics,Books,Comics,2146.7
PROD083,decade camera,Electronics,Camera,942.18
PROD084,She History,Books,History,4237.97
PROD085,Partner Jacket,Clothing,Jacket,2667.42
PROD086,Message History,Books,History,1185.7
PROD087,Give Shirt,Clothing,Shirt,658.73
PROD088,Heavy Shoes,Clothing,Shoes,4795.29
PROD089,Career Jeans,Clothing,Jeans,1354.24
PROD090,Remain Jeans,Clothing,Jeans,3311.99
PROD091,Reality Jacket,Clothing,Jacket,2862.3
PROD092,Easy History,Books,History,3173.37
PROD093,Black Jacket,Clothing,Jacket,2266.82
PROD094,Feel Sofa,Home,Sofa,1824.52
PROD095,President Headphones,Electronics,Headphones,284.28
PROD096,Available Sofa,Home,Sofa,4334.83
PROD097,We Camera,Electronics,Camera,2816.15
PROD098,Daughter Camera,Electronics,Camera,2901.12
PROD099,Friend Shoes,Clothing,Shoes,2556.7
PROD100,Mention Camera,Electronics,Camera,4505.72
PROD101,Little Chair,Home,Chair,945.54
PROD102,Get Jacket,Clothing,Jacket,2667.94
PROD103,Practice Shoes,Clothing,Shoes,1486.18
PROD104,Receive History,Books,History,356.59
PROD105,Follow Chair,Home,Chair,2834.02
PROD106,Rule History,Books,History,4272.67
PROD107,Pattern Shoes,Clothing,Shoes,3351.7
PROD108,Claim Sofa,Home,Sofa,3522.55
PROD109,Others Science,Books,Science,4696.21
PROD110,Our Lamp,Home,Lamp,1709.54
PROD111,His Shirt,Clothing,Shirt,2174.69
PROD112,System Chair,Home,Chair,983.29
PROD113,Four Shoes,Clothing,Shoes,2482.73
PROD114,Later Jeans,Clothing,Jeans,1549.38
PROD115,Concern Mobile,Electronics,Mobile,4394.32
PROD116,Above Jacket,Clothing,Jacket,986.15
PROD117,form jacket,Clothing,Jacket,3414.18
PROD118,Employee Jacket,Clothing,Jacket,3786.72
PROD119,Stock Science,Books,Science,1616.39
PROD120,Do Science,Books,Science,4740.94
PROD121,Seem Comics,Books,Comics,3912.81
PROD122,Sister Science,Books,Science,4026.17
PROD123,Put Shoes,Clothing,Shoes,2454.89
PROD124,Least Chair,Home,Chair,2627.96
PROD125,Factor Headphones,Electronics,Headphones,885.53
PROD126,Though Science,Books,Science,549.4
PROD127,Here Jacket,Clothing,Jacket,4659.31
PROD128,Center Fiction,Books,Fiction,1932.41
PROD129,Respond Fiction,Books,Fiction,238.12
PROD130,Significant Headphones,Electronics,Headphones,774.24
PROD131,Glass Lamp,Home,Lamp,780.08
PROD132,Understand Comics,Books,Comics,4538.7
PROD133,Media Headphones,Electronics,Headphones,832.65
PROD134,Maintain Fiction,Books,Fiction,1264.44
PROD135,Like Mobile,Electronics,Mobile,3230.86
PROD136,Her Fiction,Books,Fiction,4535.22
PROD137,Stage Laptop,Electronics,Laptop,1527.23
PROD138,Focus Headphones,Electronics,Headphones,2141.18
PROD139,Message Headphones,Electronics,Headphones,2677.69
PROD140,Ok Camera,Electronics,Camera,313.32
PROD141,Boy History,Books,History,179.59
PROD142,Continue Headphones,Electronics,Headphones,3319.81
PROD143,Race Headphones,Electronics,Headphones,1826.27
PROD144,Policy Table,Home,Table,3454.94
PROD145,Beat Science,Books,Science,409.19
PROD146,Thought Fiction,Books,Fiction,314.65
PROD147,Fast Shirt,Clothing,Shirt,1619.37
PROD148,Town Comics,Books,Comics,3791.13
PROD149,The Shoes,Clothing,Shoes,3926.12
PROD150,Challenge Sofa,Home,Sofa,1903.29
PROD151,Vote Comics,Books,Comics,1994.56
PROD152,Nothing Jacket,Clothing,Jacket,1900.0
PROD153,Debate Chair,Home,Chair,486.74
PROD154,Everyone Shoes,Clothing,Shoes,492.34
PROD155,Similar Sofa,Home,Sofa,3616.55
PROD156,Various Jacket,Clothing,Jacket,307.54
PROD157,Produce Lamp,Home,Lamp,4902.13
PROD158,Ball Mobile,Electronics,Mobile,2090.43
PROD159,Short Shirt,Clothing,Shirt,3077.11
PROD160,Bag Fiction,Books,Fiction,1256.38
PROD161,Wait Sofa,Home,Sofa,2879.5
PROD162,After Jacket,Clothing,Jacket,1922.87
PROD163,Time Laptop,Electronics,Laptop,2050.37
PROD164,Movement Table,Home,Table,226.98
PROD165,Program Jacket,Clothing,Jacket,4576.36
PROD166,Allow Headphones,Electronics,Headphones,3549.79
PROD167,Tax Shoes,Clothing,Shoes,4993.28
PROD168,Party Shirt,Clothing,Shirt,462.85
