order_id,customer_id,order_date,status,region_code
ORD001,CUST016,2025-06-06 00:23:22,DELIVERED,NORTH
ORD002,CUST242,2025-09-23 14:50:46,RETURNED,SOUTH
ORD003,CUST052,2025-04-22 00:43:47,SHIPPED,EAST
ORD004,CUST406,2025-10-30 06:54:45,PLACED,SOUTH
ORD005,CUST409,2025-11-02 01:27:02,SHIPPED,SOUTH
ORD006,CUST163,2025-12-22 16:02:23,DELIVERED,CENTRAL
ORD007,UNKNOWN,2025-05-16 17:42:44,RETURNED,CENTRAL
ORD008,CUST486,2026-02-18 10:19:34,CANCELLED,CENTRAL
ORD009,CUST252,2024-12-17 00:00:00,PLACED,SOUTH
ORD010,CUST011,2025-05-28 23:45:40,PLACED,EAST
ORD011,CUST104,2025-09-13 20:36:43,DELIVERED,SOUTH
ORD012,CUST433,2026-12-03 19:30:18,PLACED,NORTH
ORD013,CUST361,2025-09-18 02:21:05,PLACED,CENTRAL
ORD014,CUST492,2025-07-21 18:28:51,CANCELLED,CENTRAL
ORD015,CUST155,2024-11-27 20:12:17,SHIPPED,WEST
ORD016,CUST492,2025-04-25 13:53:59,DELIVERED,SOUTH
ORD017,CUST288,2025-09-19 06:53:39,RETURNED,EAST
ORD018,CUST302,2025-09-16 00:55:38,CANCELLED,EAST
ORD019,CUST151,2025-07-22 18:34:22,PLACED,CENTRAL
ORD020,CUST395,2025-01-25 03:23:17,PLACED,SOUTH
ORD021,CUST472,2025-07-03 05:03:28,RETURNED,SOUTH
ORD022,CUST054,2025-03-10 16:49:40,SHIPPED,EAST
ORD023,CUST122,2025-05-04 11:53:48,DELIVERED,SOUTH
ORD024,CUST494,2026-05-03 08:39:40,DELIVERED,WEST
ORD025,UNKNOWN,2026-11-01 00:00:09,PLACED,EAST
ORD026,CUST056,2025-05-17 06:18:23,PLACED,WEST
ORD027,CUST215,2026-03-02 12:36:31,CANCELLED,WEST
ORD028,CUST180,2024-10-27 06:24:49,PLACED,WEST
ORD029,CUST296,2026-07-05 02:57:54,SHIPPED,SOUTH
ORD030,CUST410,2026-05-13 23:35:53,DELIVERED,NORTH
ORD031,CUST488,2025-06-12 02:33:11,DELIVERED,SOUTH
ORD032,CUST083,2024-12-10 12:32:58,RETURNED,NORTH
ORD033,CUST315,2026-12-02 20:53:49,PLACED,WEST
ORD034,CUST085,2025-06-01 11:52:39,CANCELLED,SOUTH
ORD035,CUST170,2025-06-23 21:45:42,SHIPPED,WEST
